                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98791,                 1.1194,                0.99747,                0.99751,                0.99588,                0.99454,                0.77752,                0.90622,                0.48931,                0.98333,              0.0033313,              0.0033313,              0.0033313
                      2,                0.98522,                0.55613,                 1.0017,                0.99755,                0.99373,                0.99465,                0.77871,                0.91137,                0.39454,                0.99369,              0.0066427,              0.0066427,              0.0066427
                      3,                0.98943,                0.50434,                 1.0117,                0.99275,                 0.9857,                0.99443,                0.77869,                 0.9117,                0.39485,                 0.9912,               0.009932,               0.009932,               0.009932
                      4,                 0.9771,                0.48229,                 1.0127,                0.99496,                0.99234,                0.99408,                0.78359,                0.90273,                0.36512,                0.99274,               0.009901,               0.009901,               0.009901
                      5,                0.94638,                0.44679,                0.99856,                0.99795,                  0.997,                0.99472,                0.79971,                0.87244,                0.34479,                0.97543,               0.009901,               0.009901,               0.009901
                      6,                0.92957,                  0.426,                0.99364,                0.99628,                0.99356,                0.99459,                0.81352,                0.86645,                0.32659,                0.97161,               0.009868,               0.009868,               0.009868
                      7,                0.92173,                 0.4149,                0.99043,                0.99729,                  0.998,                0.99454,                0.81315,                0.86045,                0.31034,                0.96464,               0.009835,               0.009835,               0.009835
                      8,                0.91461,                0.40436,                0.98526,                0.99942,                0.99687,                0.99467,                0.81615,                0.85551,                0.31337,                0.96627,               0.009802,               0.009802,               0.009802
                      9,                0.90719,                0.39645,                 0.9836,                 0.9977,                0.99762,                0.99459,                0.82223,                0.83921,                0.29884,                0.95795,               0.009769,               0.009769,               0.009769
                     10,                0.90217,                0.39051,                0.97967,                0.99446,                0.99395,                0.99427,                0.82216,                0.83855,                0.30119,                0.95398,               0.009736,               0.009736,               0.009736
                     11,                0.90194,                0.38672,                0.97982,                0.99939,                 0.9983,                0.99454,                0.82291,                0.83592,                0.28644,                0.95223,               0.009703,               0.009703,               0.009703
                     12,                0.89637,                0.38191,                0.97903,                0.99846,                  0.999,                0.99452,                0.81919,                0.84699,                0.28645,                0.95909,                0.00967,                0.00967,                0.00967
                     13,                0.89352,                0.38063,                 0.9806,                0.99895,                0.99797,                0.99454,                0.82825,                 0.8316,                0.28309,                0.95651,               0.009637,               0.009637,               0.009637
                     14,                0.89013,                0.37491,                0.97602,                0.99783,                0.99705,                0.99452,                 0.8313,                0.82363,                0.28228,                 0.9496,               0.009604,               0.009604,               0.009604
                     15,                0.88704,                0.37107,                0.97517,                0.99868,                 0.9979,                0.99455,                0.83248,                0.82569,                0.27634,                0.95257,               0.009571,               0.009571,               0.009571
                     16,                0.88775,                0.37061,                0.97615,                0.99918,                0.99777,                0.99462,                0.83122,                0.82381,                0.27319,                0.94927,               0.009538,               0.009538,               0.009538
                     17,                0.88741,                0.36795,                0.97602,                0.99874,                0.99796,                0.99463,                0.82957,                0.82694,                 0.2692,                0.94909,               0.009505,               0.009505,               0.009505
                     18,                0.88264,                0.36837,                0.97315,                0.99925,                0.99857,                0.99453,                 0.8305,                0.82607,                0.26952,                0.94913,               0.009472,               0.009472,               0.009472
                     19,                0.88278,                0.36447,                0.97672,                0.99889,                0.99795,                0.99457,                0.83553,                0.81275,                0.26284,                0.94626,               0.009439,               0.009439,               0.009439
                     20,                0.88221,                0.36419,                0.97779,                0.99905,                0.99796,                0.99452,                0.83489,                0.81993,                 0.2646,                 0.9495,               0.009406,               0.009406,               0.009406
                     21,                0.87831,                0.36013,                0.97248,                 0.9993,                0.99697,                0.99451,                0.83255,                0.81865,                0.26447,                0.94656,               0.009373,               0.009373,               0.009373
                     22,                0.87593,                0.35972,                0.97167,                0.99917,                0.99801,                0.99454,                0.83713,                0.81368,                0.26197,                0.94538,                0.00934,                0.00934,                0.00934
                     23,                0.87931,                0.36085,                0.97412,                 0.9991,                 0.9978,                0.99453,                0.83554,                 0.8155,                0.26073,                0.94749,               0.009307,               0.009307,               0.009307
                     24,                0.87517,                0.35692,                 0.9738,                0.99905,                 0.9975,                0.99451,                0.83717,                 0.8107,                0.25964,                0.94457,               0.009274,               0.009274,               0.009274
                     25,                 0.8753,                0.35643,                0.97006,                 0.9986,                0.99767,                0.99454,                0.83836,                0.80895,                0.25838,                0.94276,               0.009241,               0.009241,               0.009241
                     26,                0.87397,                0.35734,                0.97356,                0.99832,                 0.9985,                0.99452,                0.83835,                0.80881,                0.25874,                  0.944,               0.009208,               0.009208,               0.009208
                     27,                0.86972,                0.35455,                0.97425,                0.99922,                0.99828,                0.99452,                0.83886,                0.80758,                0.25711,                0.94366,               0.009175,               0.009175,               0.009175
                     28,                0.87039,                0.35432,                0.97104,                0.99821,                 0.9985,                0.99454,                0.83802,                0.80872,                 0.2559,                0.94281,               0.009142,               0.009142,               0.009142
                     29,                0.87187,                0.35613,                0.97411,                0.99847,                 0.9984,                0.99452,                0.83823,                0.80816,                0.25458,                0.94296,               0.009109,               0.009109,               0.009109
                     30,                0.87666,                0.35438,                0.97341,                0.99878,                0.99819,                0.99452,                0.83948,                0.80734,                0.25432,                0.94264,               0.009076,               0.009076,               0.009076
                     31,                0.86914,                0.35273,                0.97187,                0.99864,                0.99786,                0.99452,                0.83749,                 0.8086,                0.25408,                0.94269,               0.009043,               0.009043,               0.009043
                     32,                0.87158,                0.35237,                0.97343,                0.99856,                0.99771,                0.99453,                0.83765,                0.80771,                0.25411,                0.94265,                0.00901,                0.00901,                0.00901
                     33,                0.86919,                0.35359,                0.97772,                0.99832,                0.99802,                0.99454,                0.83738,                0.80868,                0.25441,                0.94366,               0.008977,               0.008977,               0.008977
                     34,                0.87035,                0.35189,                0.97406,                0.99774,                0.99768,                0.99453,                0.83777,                0.80885,                0.25435,                0.94406,               0.008944,               0.008944,               0.008944
                     35,                0.87198,                0.35171,                0.97317,                0.99841,                0.99768,                0.99454,                0.83798,                0.80858,                0.25287,                0.94372,               0.008911,               0.008911,               0.008911
                     36,                 0.8654,                0.34782,                0.96966,                0.99815,                0.99721,                0.99454,                0.83789,                0.80753,                0.25278,                0.94329,               0.008878,               0.008878,               0.008878
                     37,                0.86651,                0.34952,                0.97772,                0.99781,                0.99709,                0.99454,                0.83841,                0.80701,                0.25383,                0.94339,               0.008845,               0.008845,               0.008845
                     38,                0.86625,                0.34946,                0.97389,                0.99844,                0.99714,                0.99455,                0.83936,                0.80692,                0.25313,                0.94345,               0.008812,               0.008812,               0.008812
                     39,                 0.8683,                 0.3495,                0.97418,                0.99844,                0.99719,                0.99455,                0.83913,                0.80691,                0.25248,                0.94353,               0.008779,               0.008779,               0.008779
                     40,                0.86482,                0.34648,                0.97755,                 0.9988,                0.99714,                0.99455,                0.83937,                0.80718,                 0.2526,                0.94368,               0.008746,               0.008746,               0.008746
                     41,                0.86099,                0.34721,                0.97687,                0.99888,                0.99716,                0.99455,                0.83961,                0.80667,                0.25248,                0.94383,               0.008713,               0.008713,               0.008713
                     42,                0.86681,                0.34591,                0.97169,                0.99897,                0.99711,                0.99454,                0.83933,                0.80701,                0.25239,                0.94359,                0.00868,                0.00868,                0.00868
                     43,                0.86175,                0.34589,                0.97054,                0.99867,                0.99718,                0.99454,                0.83942,                0.80667,                0.25168,                0.94329,               0.008647,               0.008647,               0.008647
                     44,                0.86039,                0.34271,                0.96906,                0.99863,                0.99721,                0.99455,                0.83959,                0.80639,                0.25138,                0.94316,               0.008614,               0.008614,               0.008614
                     45,                0.86386,                0.34678,                0.97574,                0.99852,                0.99722,                0.99454,                0.83939,                0.80614,                0.25138,                0.94317,               0.008581,               0.008581,               0.008581
                     46,                0.86404,                0.34484,                0.97258,                0.99869,                 0.9973,                0.99454,                0.84079,                0.80595,                 0.2514,                0.94321,               0.008548,               0.008548,               0.008548
                     47,                0.86195,                0.34718,                0.97482,                0.99833,                0.99728,                0.99454,                0.84027,                0.80587,                0.25131,                0.94334,               0.008515,               0.008515,               0.008515
                     48,                0.85918,                0.34469,                0.96656,                0.99841,                0.99732,                0.99454,                0.83972,                0.80531,                0.25121,                0.94307,               0.008482,               0.008482,               0.008482
                     49,                0.86127,                0.34384,                 0.9699,                0.99886,                0.99736,                0.99454,                0.84039,                0.80528,                0.25117,                 0.9431,               0.008449,               0.008449,               0.008449
                     50,                0.86068,                0.34245,                   0.97,                0.99886,                0.99742,                0.99454,                 0.8407,                0.80496,                 0.2509,                0.94277,               0.008416,               0.008416,               0.008416
                     51,                0.85925,                0.34471,                0.97698,                0.99864,                0.99746,                0.99454,                0.84064,                0.80492,                0.25067,                0.94332,               0.008383,               0.008383,               0.008383
                     52,                0.86349,                0.34303,                0.97032,                 0.9985,                0.99746,                0.99454,                0.84067,                0.80472,                0.25069,                0.94309,                0.00835,                0.00835,                0.00835
                     53,                 0.8604,                 0.3422,                0.97005,                0.99847,                 0.9974,                0.99454,                0.84029,                0.80444,                0.25087,                  0.943,               0.008317,               0.008317,               0.008317
                     54,                0.86029,                0.34099,                0.96935,                0.99858,                0.99736,                0.99455,                0.84051,                 0.8045,                0.25086,                0.94288,               0.008284,               0.008284,               0.008284
                     55,                 0.8578,                0.34198,                0.97189,                0.99853,                0.99731,                0.99454,                0.84103,                0.80412,                0.25074,                0.94267,               0.008251,               0.008251,               0.008251
                     56,                0.86086,                0.34232,                0.97692,                0.99859,                0.99739,                0.99454,                0.84149,                0.80387,                0.25067,                0.94263,               0.008218,               0.008218,               0.008218
                     57,                0.85641,                0.34177,                0.97284,                0.99849,                0.99733,                0.99454,                0.84132,                0.80361,                0.25061,                0.94264,               0.008185,               0.008185,               0.008185
                     58,                 0.8569,                0.34316,                0.97568,                 0.9986,                0.99726,                0.99454,                0.84132,                0.80368,                0.25011,                0.94288,               0.008152,               0.008152,               0.008152
                     59,                0.85946,                0.34085,                0.97251,                0.99867,                0.99729,                0.99454,                0.84154,                0.80359,                 0.2498,                0.94292,               0.008119,               0.008119,               0.008119
