                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.76101,                0.34418,                0.94715,                0.99834,                0.99967,                0.99437,                0.87123,                0.67998,                0.22968,                0.90912,               0.008845,               0.008845,               0.008845
                     38,                 0.7592,                0.34142,                0.94568,                0.99834,                0.99967,                0.99437,                 0.8711,                0.67992,                0.22959,                0.90903,               0.008812,               0.008812,               0.008812
                     39,                0.75888,                   0.34,                0.94729,                0.99834,                0.99967,                0.99434,                0.87099,                0.67941,                0.22985,                0.90888,               0.008779,               0.008779,               0.008779
                     40,                0.75648,                0.33794,                0.94779,                0.99836,                0.99967,                0.99439,                0.87169,                0.67899,                0.22941,                0.90884,               0.008746,               0.008746,               0.008746
                     41,                0.75708,                0.34109,                0.94666,                0.99836,                0.99967,                0.99437,                0.87183,                0.67866,                0.22924,                0.90873,               0.008713,               0.008713,               0.008713
                     42,                0.75492,                 0.3376,                0.94459,                0.99835,                0.99967,                0.99434,                0.87178,                0.67826,                0.22896,                0.90864,                0.00868,                0.00868,                0.00868
                     43,                0.75481,                0.33911,                0.94552,                0.99836,                0.99967,                0.99434,                0.87206,                0.67804,                0.22864,                0.90856,               0.008647,               0.008647,               0.008647
                     44,                0.75235,                0.33685,                0.94488,                0.99836,                0.99967,                0.99434,                0.87287,                0.67762,                0.22842,                0.90832,               0.008614,               0.008614,               0.008614
                     45,                0.75384,                0.33636,                0.94599,                0.99836,                0.99967,                0.99433,                  0.873,                0.67705,                0.22832,                0.90823,               0.008581,               0.008581,               0.008581
                     46,                0.75536,                0.33695,                0.94534,                0.99836,                0.99967,                 0.9943,                0.87299,                0.67656,                0.22813,                0.90807,               0.008548,               0.008548,               0.008548
                     47,                0.75675,                0.33666,                0.94499,                0.99836,                0.99967,                0.99428,                0.87331,                0.67653,                0.22779,                0.90795,               0.008515,               0.008515,               0.008515
                     48,                 0.7537,                 0.3368,                0.94283,                0.99837,                0.99967,                0.99428,                0.87265,                0.67617,                0.22744,                0.90796,               0.008482,               0.008482,               0.008482
                     49,                0.75054,                0.33516,                0.94307,                0.99837,                0.99967,                0.99427,                 0.8733,                0.67555,                0.22719,                0.90774,               0.008449,               0.008449,               0.008449
                     50,                0.74889,                0.33359,                0.94102,                0.99837,                0.99967,                0.99428,                0.87357,                0.67485,                0.22695,                0.90751,               0.008416,               0.008416,               0.008416
                     51,                0.74729,                0.33276,                0.94089,                0.99837,                0.99967,                0.99429,                0.87361,                0.67438,                0.22625,                0.90732,               0.008383,               0.008383,               0.008383
                     52,                0.74721,                0.33216,                0.94102,                0.99837,                0.99967,                0.99431,                0.87427,                0.67417,                0.22662,                0.90725,                0.00835,                0.00835,                0.00835
                     53,                0.74781,                0.33141,                0.94088,                0.99838,                0.99967,                0.99435,                0.87442,                0.67393,                0.22606,                0.90715,               0.008317,               0.008317,               0.008317
                     54,                0.74629,                 0.3327,                 0.9414,                0.99842,                0.99967,                0.99436,                0.87425,                0.67386,                0.22604,                0.90712,               0.008284,               0.008284,               0.008284
                     55,                0.74298,                0.32983,                0.94006,                0.99845,                0.99967,                0.99438,                0.87442,                0.67362,                0.22546,                0.90695,               0.008251,               0.008251,               0.008251
                     56,                0.74849,                0.33084,                 0.9433,                0.99847,                0.99967,                 0.9944,                0.87538,                0.67307,                0.22561,                 0.9068,               0.008218,               0.008218,               0.008218
                     57,                0.74864,                0.33301,                0.94387,                0.99848,                0.99967,                 0.9944,                0.87574,                0.67293,                 0.2252,                0.90674,               0.008185,               0.008185,               0.008185
                     58,                0.74196,                0.32996,                0.94206,                0.99847,                0.99967,                0.99441,                0.87548,                0.67257,                0.22521,                0.90662,               0.008152,               0.008152,               0.008152
                     59,                0.74586,                0.33091,                 0.9443,                0.99846,                0.99967,                0.99442,                0.87514,                0.67249,                0.22501,                0.90656,               0.008119,               0.008119,               0.008119
                     60,                0.74425,                0.33004,                0.94216,                0.99844,                0.99967,                0.99442,                0.87467,                0.67246,                0.22506,                0.90654,               0.008086,               0.008086,               0.008086
                     61,                0.74274,                0.32878,                0.94132,                0.99844,                0.99967,                0.99441,                0.87474,                0.67186,                0.22488,                0.90642,               0.008053,               0.008053,               0.008053
                     62,                0.74277,                0.32735,                0.94052,                0.99842,                0.99967,                 0.9944,                 0.8752,                0.67178,                0.22485,                0.90643,                0.00802,                0.00802,                0.00802
                     63,                0.74324,                0.32835,                0.93959,                0.99841,                0.99967,                 0.9944,                0.87562,                0.67138,                0.22494,                0.90624,               0.007987,               0.007987,               0.007987
                     64,                0.74366,                0.33011,                0.94085,                0.99843,                0.99967,                 0.9944,                0.87486,                 0.6712,                0.22464,                 0.9062,               0.007954,               0.007954,               0.007954
                     65,                0.74408,                0.32877,                0.94151,                0.99843,                0.99967,                0.99439,                0.87542,                0.67106,                 0.2248,                0.90619,               0.007921,               0.007921,               0.007921
                     66,                0.74373,                0.32872,                0.94252,                0.99844,                0.99967,                 0.9944,                 0.8757,                0.67081,                0.22443,                0.90609,               0.007888,               0.007888,               0.007888
                     67,                0.74262,                0.32703,                0.94158,                0.99846,                0.99967,                0.99439,                0.87552,                0.67069,                0.22466,                  0.906,               0.007855,               0.007855,               0.007855
                     68,                0.74329,                0.32743,                0.94015,                0.99848,                0.99967,                0.99439,                 0.8756,                0.67041,                0.22428,                0.90598,               0.007822,               0.007822,               0.007822
                     69,                0.74238,                0.32805,                0.94248,                0.99849,                0.99967,                 0.9944,                0.87526,                0.67028,                0.22421,                 0.9059,               0.007789,               0.007789,               0.007789
                     70,                0.73648,                0.32594,                0.93966,                 0.9985,                0.99967,                 0.9944,                0.87534,                0.67016,                0.22453,                0.90576,               0.007756,               0.007756,               0.007756
                     71,                 0.7418,                0.32678,                0.94088,                0.99851,                0.99967,                0.99442,                0.87518,                0.67005,                0.22419,                 0.9057,               0.007723,               0.007723,               0.007723
                     72,                0.74106,                0.32931,                0.94158,                0.99852,                0.99967,                0.99442,                0.87548,                0.66989,                 0.2239,                0.90564,                0.00769,                0.00769,                0.00769
                     73,                0.74121,                0.32813,                0.94313,                0.99852,                0.99967,                0.99441,                0.87544,                0.66957,                0.22385,                0.90547,               0.007657,               0.007657,               0.007657
                     74,                0.73857,                0.32447,                0.93951,                0.99853,                0.99967,                0.99441,                0.87547,                0.66925,                0.22372,                0.90543,               0.007624,               0.007624,               0.007624
                     75,                 0.7371,                0.32393,                0.93806,                0.99852,                0.99967,                0.99442,                 0.8763,                0.66946,                 0.2239,                0.90547,               0.007591,               0.007591,               0.007591
                     76,                 0.7359,                0.32445,                0.93968,                 0.9985,                0.99967,                0.99442,                0.87681,                0.66922,                0.22359,                0.90531,               0.007558,               0.007558,               0.007558
