                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96617,                0.56993,                 1.0081,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00055551,             0.00055551,             0.00055551
                      2,                0.92287,                0.42829,                0.99045,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00074449,             0.00074449,             0.00074449
                      3,                 0.8764,                0.37603,                0.97382,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00056673,             0.00056673,             0.00056673
