                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.57578,                0.29835,                0.89751,                0.99823,                0.99883,                0.99429,                0.92071,                 0.4328,                 0.1783,                0.84861,              0.0082675,              0.0082675,              0.0082675
                     38,                0.57402,                0.29598,                0.89574,                0.99825,                0.99883,                0.99421,                0.92026,                0.43256,                 0.1777,                0.84858,               0.008218,               0.008218,               0.008218
                     39,                0.57343,                0.29492,                0.89582,                0.99827,                0.99883,                0.99428,                0.92085,                0.43236,                0.17785,                0.84854,              0.0081685,              0.0081685,              0.0081685
                     40,                0.57111,                0.29358,                0.89496,                0.99832,                0.99883,                0.99428,                 0.9209,                0.43213,                0.17732,                 0.8485,               0.008119,               0.008119,               0.008119
                     41,                0.57027,                0.29146,                0.89513,                0.99836,                0.99883,                0.99427,                0.92146,                0.43179,                0.17692,                0.84839,              0.0080695,              0.0080695,              0.0080695
                     42,                0.56885,                0.29166,                0.89464,                0.99836,                0.99883,                0.99426,                0.92107,                0.43156,                 0.1764,                0.84827,                0.00802,                0.00802,                0.00802
                     43,                0.56781,                0.29174,                0.89439,                0.99838,                0.99883,                 0.9941,                0.92108,                0.43123,                0.17646,                0.84809,              0.0079705,              0.0079705,              0.0079705
                     44,                0.56788,                0.29124,                0.89285,                0.99839,                0.99883,                0.99427,                0.92151,                0.43075,                  0.176,                0.84797,               0.007921,               0.007921,               0.007921
                     45,                0.56439,                0.28866,                 0.8923,                 0.9984,                0.99883,                0.99428,                0.92147,                0.43053,                0.17605,                0.84781,              0.0078715,              0.0078715,              0.0078715
                     46,                0.56755,                 0.2907,                0.89437,                 0.9984,                0.99883,                0.99415,                0.92199,                0.43032,                0.17583,                0.84775,               0.007822,               0.007822,               0.007822
                     47,                0.56758,                0.28991,                0.89317,                0.99841,                0.99883,                0.99413,                0.92177,                0.42995,                0.17547,                0.84773,              0.0077725,              0.0077725,              0.0077725
                     48,                 0.5674,                0.28903,                0.89214,                 0.9984,                0.99883,                0.99416,                 0.9213,                0.42968,                0.17542,                 0.8476,               0.007723,               0.007723,               0.007723
                     49,                0.56458,                0.28816,                0.89285,                0.99841,                0.99883,                0.99419,                0.92158,                0.42942,                0.17506,                0.84763,              0.0076735,              0.0076735,              0.0076735
                     50,                0.56482,                  0.288,                0.89181,                0.99842,                0.99883,                0.99411,                0.92195,                0.42922,                0.17479,                0.84762,               0.007624,               0.007624,               0.007624
                     51,                0.56131,                0.28535,                0.89184,                0.99842,                0.99883,                0.99411,                 0.9226,                0.42902,                0.17483,                0.84755,              0.0075745,              0.0075745,              0.0075745
                     52,                0.56138,                0.28538,                0.89026,                0.99842,                0.99883,                0.99427,                0.92293,                0.42879,                0.17482,                0.84751,               0.007525,               0.007525,               0.007525
                     53,                  0.561,                0.28555,                0.89071,                0.99842,                0.99883,                0.99427,                0.92281,                0.42854,                0.17435,                0.84738,              0.0074755,              0.0074755,              0.0074755
                     54,                0.56052,                0.28655,                0.89188,                0.99843,                0.99883,                0.99418,                0.92251,                0.42855,                0.17469,                0.84734,               0.007426,               0.007426,               0.007426
                     55,                0.55644,                0.28436,                0.89032,                0.99843,                0.99883,                0.99427,                0.92279,                0.42837,                0.17465,                0.84721,              0.0073765,              0.0073765,              0.0073765
                     56,                0.55803,                0.28496,                0.89013,                0.99843,                0.99883,                0.99426,                 0.9227,                0.42815,                0.17436,                0.84713,               0.007327,               0.007327,               0.007327
                     57,                 0.5559,                0.28374,                0.88966,                0.99843,                0.99883,                0.99425,                0.92279,                0.42791,                0.17428,                0.84703,              0.0072775,              0.0072775,              0.0072775
                     58,                0.55524,                0.28299,                   0.89,                0.99843,                0.99883,                0.99424,                 0.9228,                0.42769,                0.17439,                0.84697,               0.007228,               0.007228,               0.007228
                     59,                0.55423,                0.28127,                0.88873,                0.99843,                0.99883,                0.99424,                0.92263,                0.42754,                 0.1741,                0.84688,              0.0071785,              0.0071785,              0.0071785
                     60,                0.55775,                0.28068,                0.88976,                0.99843,                0.99883,                0.99425,                  0.923,                0.42733,                0.17391,                0.84678,               0.007129,               0.007129,               0.007129
                     61,                0.55533,                0.28137,                0.88988,                0.99843,                0.99883,                0.99424,                0.92324,                0.42704,                0.17387,                0.84669,              0.0070795,              0.0070795,              0.0070795
                     62,                0.55501,                0.28076,                0.88945,                0.99843,                0.99883,                0.99425,                0.92332,                0.42677,                0.17406,                0.84653,                0.00703,                0.00703,                0.00703
                     63,                0.55336,                0.28172,                0.88826,                0.99843,                0.99883,                0.99423,                0.92308,                 0.4265,                0.17374,                0.84639,              0.0069805,              0.0069805,              0.0069805
                     64,                0.55325,                0.27913,                0.88872,                0.99843,                0.99883,                0.99425,                0.92307,                0.42629,                0.17344,                0.84636,               0.006931,               0.006931,               0.006931
                     65,                0.55093,                0.27973,                0.88876,                0.99842,                0.99883,                0.99419,                0.92341,                0.42615,                0.17365,                0.84628,              0.0068815,              0.0068815,              0.0068815
                     66,                0.55097,                0.27873,                0.88868,                0.99842,                0.99883,                0.99418,                0.92313,                0.42597,                0.17315,                0.84623,               0.006832,               0.006832,               0.006832
                     67,                0.55485,                0.28201,                0.89002,                0.99842,                0.99883,                0.99424,                0.92243,                 0.4257,                0.17291,                0.84617,              0.0067825,              0.0067825,              0.0067825
                     68,                0.55284,                0.27793,                0.88905,                0.99842,                0.99883,                0.99427,                0.92323,                0.42549,                0.17294,                0.84605,               0.006733,               0.006733,               0.006733
                     69,                0.55187,                0.27779,                0.88946,                0.99841,                0.99883,                0.99427,                0.92359,                0.42522,                0.17281,                0.84592,              0.0066835,              0.0066835,              0.0066835
                     70,                0.54732,                0.27516,                0.88765,                0.99841,                0.99883,                0.99427,                 0.9238,                0.42507,                0.17224,                0.84586,               0.006634,               0.006634,               0.006634
                     71,                0.54816,                0.27738,                0.88597,                0.99841,                0.99883,                0.99427,                0.92336,                0.42494,                0.17181,                0.84579,              0.0065845,              0.0065845,              0.0065845
                     72,                0.54919,                0.27652,                0.88764,                0.99841,                0.99883,                0.99427,                0.92391,                0.42487,                0.17196,                0.84575,               0.006535,               0.006535,               0.006535
                     73,                0.55128,                0.27667,                0.88855,                0.99841,                0.99883,                0.99428,                0.92362,                0.42482,                0.17223,                0.84568,              0.0064855,              0.0064855,              0.0064855
                     74,                0.54563,                0.27506,                0.88616,                0.99841,                0.99883,                0.99429,                0.92402,                0.42461,                0.17177,                 0.8456,               0.006436,               0.006436,               0.006436
                     75,                0.54436,                0.27461,                0.88648,                0.99842,                0.99883,                0.99429,                0.92413,                0.42443,                0.17172,                0.84556,              0.0063865,              0.0063865,              0.0063865
                     76,                0.54285,                0.27276,                0.88413,                0.99841,                0.99883,                0.99429,                0.92448,                0.42433,                0.17161,                0.84556,               0.006337,               0.006337,               0.006337
                     77,                0.54619,                0.27307,                0.88675,                0.99841,                0.99883,                0.99415,                0.92471,                0.42404,                0.17116,                0.84542,              0.0062875,              0.0062875,              0.0062875
                     78,                 0.5458,                0.27298,                0.88647,                 0.9984,                0.99883,                0.99414,                0.92441,                0.42398,                0.17128,                 0.8453,               0.006238,               0.006238,               0.006238
                     79,                0.54537,                0.27386,                0.88566,                 0.9984,                0.99883,                0.99427,                0.92409,                0.42372,                0.17117,                0.84523,              0.0061885,              0.0061885,              0.0061885
                     80,                0.54499,                0.27297,                0.88672,                 0.9984,                0.99883,                0.99425,                0.92463,                0.42353,                0.17087,                0.84513,               0.006139,               0.006139,               0.006139
                     81,                  0.545,                0.27414,                0.88717,                 0.9984,                0.99883,                0.99426,                0.92487,                0.42335,                0.17024,                0.84506,              0.0060895,              0.0060895,              0.0060895
                     82,                0.54222,                0.27287,                0.88499,                0.99839,                0.99883,                0.99422,                0.92522,                0.42318,                0.17046,                0.84501,                0.00604,                0.00604,                0.00604
                     83,                0.54235,                 0.2708,                0.88557,                0.99839,                0.99883,                0.99419,                0.92526,                0.42314,                0.17025,                0.84497,              0.0059905,              0.0059905,              0.0059905
                     84,                0.54171,                0.27122,                0.88499,                0.99838,                0.99883,                0.99424,                0.92549,                0.42291,                0.17014,                0.84486,               0.005941,               0.005941,               0.005941
