                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.82421,                0.33164,                0.95989,                 0.9999,                      1,                  0.995,                0.85266,                0.76983,                0.23437,                0.93043,              0.0071125,              0.0071125,              0.0071125
                     38,                0.82523,                0.33203,                0.96163,                0.99988,                      1,                  0.995,                0.85226,                0.76974,                0.23428,                0.93037,                0.00703,                0.00703,                0.00703
                     39,                0.81906,                 0.3283,                0.95985,                0.99988,                      1,                  0.995,                0.85183,                0.76952,                0.23397,                0.93034,              0.0069475,              0.0069475,              0.0069475
                     40,                0.81968,                0.32984,                0.96164,                 0.9999,                      1,                  0.995,                0.85149,                0.76929,                 0.2336,                 0.9301,               0.006865,               0.006865,               0.006865
                     41,                0.81858,                0.32982,                0.95946,                0.99991,                      1,                  0.995,                0.85226,                0.76919,                0.23338,                0.93005,              0.0067825,              0.0067825,              0.0067825
                     42,                0.81911,                0.32706,                0.96072,                0.99992,                      1,                  0.995,                0.85257,                0.76899,                0.23334,                0.93016,                 0.0067,                 0.0067,                 0.0067
                     43,                 0.8184,                0.32659,                 0.9617,                0.99992,                      1,                  0.995,                 0.8534,                0.76886,                0.23325,                0.93042,              0.0066175,              0.0066175,              0.0066175
                     44,                0.81611,                0.32521,                 0.9636,                0.99991,                      1,                  0.995,                0.85282,                0.76869,                0.23322,                0.93038,               0.006535,               0.006535,               0.006535
                     45,                0.82064,                 0.3259,                0.95909,                0.99991,                      1,                  0.995,                0.85302,                0.76861,                0.23291,                0.93032,              0.0064525,              0.0064525,              0.0064525
                     46,                0.81578,                0.32409,                0.95519,                0.99991,                      1,                  0.995,                0.85285,                0.76846,                0.23293,                0.93026,                0.00637,                0.00637,                0.00637
                     47,                  0.815,                0.32248,                0.95793,                0.99992,                      1,                  0.995,                0.85267,                0.76823,                0.23271,                0.93011,              0.0062875,              0.0062875,              0.0062875
                     48,                0.81931,                0.32431,                0.96106,                0.99991,                      1,                  0.995,                0.85317,                0.76819,                0.23271,                0.92999,               0.006205,               0.006205,               0.006205
